name sigma sigma_e
NGC2819 312.4 7.5
PGC026292 282.6 20.3
NGC2787 205.0 6.3
NGC2832 340.4 7.1
NGC2841 230.1 8.3
PGC026614 96.6 84.3
PGC026614 148.3 29.0
NGC2859 172.8 3.5
IC2471 181.2 10.2
NGC2872 293.3 5.8
UGC05025 197.5 30.3
NGC2893 41.5 16.7
NGC2903 75.2 8.4
NGC2892 272.6 9.1
NGC2940 218.6 7.9
NGC2940 200.4 9.4
NGC2943 259.2 8.4
NGC2960 155.2 4.2
NGC2967 77.9 27.4
NGC2967 93.3 24.0
NGC2950 168.9 3.7
NGC2964 82.3 14.4
NGC2979 92.3 11.4
NGC2968 221.5 65.8
NGC3003 99.6 19.1
NGC3021 68.3 31.3
NGC3041 50.3 16.7
NGC3044 28.1 28.0
IC0574 354.6 10.3
NGC3049 97.3 41.4
NGC3055 32.7 18.3
NGC3034 93.1 12.5
IC2520 44.5 21.0
NGC3070 224.0 4.9
NGC3067 71.2 16.6
NGC3079 160.6 10.8
NGC3077 43.5 17.9
UGC05420 265.4 7.2
UGC05420 266.5 7.0
NGC3115 286.2 2.4
PGC029300 43.2 21.2
UGC05435 220.0 4.0
NGC3162 41.3 18.4
UGC05515 329.4 11.1
NGC3166 147.3 4.1
NGC3158 289.7 6.2
NGC3169 163.6 4.9
NGC3177 121.2 13.0
NGC3147 233.1 8.0
NGC3190 163.6 10.1
NGC3193 208.1 3.5
NGC3209 308.9 8.2
IC2565 249.3 7.8
NGC3226 202.6 4.4
NGC3227 141.8 11.0
IC0610 81.3 27.8
PGC030732 207.0 12.1
NGC3245 205.7 4.2
NGC3254 105.3 6.0
PGC030960 330.2 6.8
UGC05713 162.1 5.9
UGC05720 20.1 28.5
NGC3259 40.8 18.5
NGC3277 127.3 14.1
NGC3277 138.3 10.2
UGC05739 17.0 26.7
UGC05745 73.3 10.6
IC0624 228.3 8.6
NGC3294 79.0 14.1
NGC3286 271.1 7.4
NGC3286 254.3 8.5
NGC3286 246.1 7.5
NGC3286 241.0 7.7
NGC3286 265.8 6.9
NGC3286 261.3 7.5
NGC3286 260.7 8.0
NGC3310 80.3 10.0
NGC3319 39.6 27.1
NGC3319 27.7 33.2
NGC3344 53.1 12.8
NGC3351 83.3 7.8
NGC3365 21.2 33.0
NGC3367 115.5 12.8
NGC3368 124.7 4.3
NGC3348 253.6 6.4
UGC05893 310.6 7.4
UGC05897 45.2 30.0
NGC3377 150.4 4.0
NGC3379 222.4 3.1
PGC032447 122.1 33.3
PGC032447 148.7 15.0
NGC3412 99.6 5.2
NGC3414 239.1 4.7
UGC05953 129.8 6.9
NGC3430 70.0 12.9
NGC3432 51.1 46.2
NGC3403 91.1 72.8
PGC032873 325.8 7.1
PGC032873 348.5 5.3
PGC032873 343.8 5.7
NGC3485 52.9 16.5
NGC3489 105.2 5.6
NGC3486 56.5 11.3
IC0664 304.3 7.3
UGC06093 179.6 8.5
NGC3504 109.7 6.2
